230,80
229.17,80
228.33,80
227.5,80
226.67,80
225.83,80
225,80
224.17,80
223.33,80
222.5,80
221.67,80
220.83,80
220,80
219.17,80
218.33,80
217.5,80
216.67,80
215.83,80
215,80
214.17,80
213.33,80
212.5,80
211.67,80
210.83,80
210,80
209.17,80
208.33,80
207.5,80
206.67,80
205.83,80
205,80
204.17,80
203.33,80
202.5,80
201.67,80
200.83,80
200,80
199.17,80
198.33,80
197.5,80
196.67,80
195.83,80
195,80
194.17,80
193.33,80
192.5,80
191.67,80
190.83,80
190,80
189.17,80
188.33,80
187.5,80
186.67,80
185.83,80
185,80
184.17,80
183.33,80
182.5,80
181.67,80
180.83,80
180,80
179.17,80
178.33,80
177.5,80
176.67,80
175.83,80
175,80
174.17,80
173.33,80
172.5,80
171.67,80
170.83,80
170,80
169.17,80
168.33,80
167.5,80
166.67,80
165.83,80
165,80
164.17,80
