255,85
252.57,83.241
250.14,81.484
247.71,79.729
245.27,77.978
242.83,76.233
240.38,74.495
237.93,72.766
235.47,71.046
233.01,69.339
230.53,67.645
228.04,65.967
225.55,64.307
223.03,62.667
220.51,61.05
217.96,59.458
215.4,57.895
212.82,56.364
210.22,54.869
207.6,53.416
204.95,52.008
202.27,50.652
199.57,49.355
196.83,48.125
194.06,46.971
191.26,45.906
188.42,44.94
185.54,44.091
182.63,43.376
179.68,42.817
176.7,42.438
173.71,42.265
170.71,42.329
167.73,42.655
164.8,43.268
161.94,44.18
159.2,45.392
156.59,46.879
154.13,48.591
151.8,50.482
149.6,52.515
147.5,54.658
145.49,56.89
143.57,59.19
141.71,61.543
139.9,63.939
138.14,66.367
136.41,68.818
134.7,71.286
133.01,73.762
131.32,76.241
129.62,78.716
127.91,81.18
126.17,83.624
124.39,86.039
122.56,88.414
120.66,90.731
118.66,92.972
116.55,95.105
114.31,97.092
111.89,98.872
109.29,100.36
106.51,101.48
103.6,102.19
100.61,102.49
97.617,102.43
94.642,102.05
91.712,101.41
88.837,100.56
86.018,99.53
83.253,98.368
80.536,97.095
77.863,95.734
75.227,94.302
72.622,92.815
70.042,91.284
67.482,89.719
64.937,88.131
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
62.401,86.528
